year,portfolio_total_ghg
2000,19499.367
2001,19237.866
2002,19786.941
2003,21694.385000000002
2004,21751.185
2005,22384.456
2006,22563.556
2007,23195.042999999998
2008,23628.616
2009,23299.48
2010,24385.875
2011,25087.364
2012,25484.326
2013,25781.47
2014,25956.005
2015,25771.344
2016,25354.985
2017,25538.292999999998
2018,26202.563000000002
2019,26386.634000000002
2020,25779.018
2021,27103.851
2022,27870.174
2023,28334.361
