country,year,yoy_change_pct
Brazil,2000,
Brazil,2001,1.7587592560474707
Brazil,2002,0.46191711491019305
Brazil,2003,-0.8971575632970574
Brazil,2004,4.871389400687676
Brazil,2005,0.8125964906455785
Brazil,2006,1.2350049811867603
Brazil,2007,5.883357596558136
Brazil,2008,5.649392047069313
Brazil,2009,-5.5406918412749135
Brazil,2010,12.954653325636588
Brazil,2011,4.915631125516451
Brazil,2012,7.6978032564714916
Brazil,2013,6.854913280854236
Brazil,2014,4.694969044470243
Brazil,2015,-5.094460995533002
Brazil,2016,-6.897158890820066
Brazil,2017,1.1204994458509976
Brazil,2018,-4.153603282018281
Brazil,2019,0.02580775113774081
Brazil,2020,-6.025499030885784
Brazil,2021,10.83997955352578
Brazil,2022,-3.3236534410607366
Brazil,2023,0.8194843123122686
China,2000,
China,2001,2.203847072157994
China,2002,10.044456211598241
China,2003,17.985296403453166
China,2004,7.770227440106003
China,2005,12.877279258086949
China,2006,10.27193003185487
China,2007,7.5310525370460235
China,2008,7.423168689297266
China,2009,5.193086224394716
China,2010,9.243898140592943
China,2011,10.57026627493829
China,2012,2.5961557550598036
China,2013,1.792304965000091
China,2014,0.3385108039118734
China,2015,-1.1827052994142773
China,2016,-1.114471030752584
China,2017,2.583447670974315
China,2018,3.4677551451428146
China,2019,3.544335972799284
China,2020,1.70817887500041
China,2021,3.559668264760818
China,2022,3.7875913838935737
China,2023,3.929376232943693
Denmark,2000,
Denmark,2001,2.927799362881389
Denmark,2002,-0.6136286383884526
Denmark,2003,9.164056593584613
Denmark,2004,-9.143375381317508
Denmark,2005,-6.470054446460994
Denmark,2006,15.455515668962839
Denmark,2007,-8.052100840336129
Denmark,2008,-6.311575791917234
Denmark,2009,-4.692133603870774
Denmark,2010,0.6939468997563925
Denmark,2011,-10.069119739784504
Denmark,2012,-9.89217171146326
Denmark,2013,4.771581244825773
Denmark,2014,-10.037593084787966
Denmark,2015,-6.5476032045992945
Denmark,2016,5.14368716356699
Denmark,2017,-6.100170653086656
Denmark,2018,-0.16154622818403963
Denmark,2019,-10.572394463867784
Denmark,2020,-8.562197092084
Denmark,2021,4.607773851590102
Denmark,2022,-1.7227401702472611
Denmark,2023,-0.9039664535643199
Germany,2000,
Germany,2001,1.8108381091375136
Germany,2002,-1.7941448011756345
Germany,2003,-0.4820689916046783
Germany,2004,-2.004581325230481
Germany,2005,-0.9913640667602142
Germany,2006,2.1378531594229644
Germany,2007,-4.544162340343439
Germany,2008,1.2397285124557955
Germany,2009,-7.781421198795768
Germany,2010,4.648321991331472
Germany,2011,-2.6808837493422666
Germany,2012,1.187135040805809
Germany,2013,2.168425474730773
Germany,2014,-4.7084085766568196
Germany,2015,1.0395112694679742
Germany,2016,-0.3540108113777807
Germany,2017,-1.6783460402913342
Germany,2018,-3.291379628980562
Germany,2019,-6.605682083263586
Germany,2020,-8.674534219338481
Germany,2021,4.76237567157054
Germany,2022,-1.4977920288850588
Germany,2023,-11.091978204458231
India,2000,
India,2001,1.4318205994539257
India,2002,3.151424593337193
India,2003,3.4517550229968386
India,2004,6.197409579576174
India,2005,5.357078329048459
India,2006,8.192117571376102
India,2007,7.744713029479922
India,2008,6.952425035073939
India,2009,8.250456599251454
India,2010,4.041459641188894
India,2011,5.192936676734994
India,2012,9.134703332115702
India,2013,3.547041857076283
India,2014,7.653594355239246
India,2015,3.899579712222967
India,2016,5.4091800537409584
India,2017,3.1107653854982376
India,2018,6.987816410948966
India,2019,0.6145127189259414
India,2020,-7.216789376430155
India,2021,10.444655042324102
India,2022,5.8059375628322085
India,2023,8.181321111131501
Netherlands,2000,
Netherlands,2001,3.0844476457125625
Netherlands,2002,-0.409097056304375
Netherlands,2003,1.941291629417563
Netherlands,2004,1.0662211590229065
Netherlands,2005,-2.1747487506178276
Netherlands,2006,-2.723291977769049
Netherlands,2007,-0.14485309818270675
Netherlands,2008,1.6621587257553694
Netherlands,2009,-3.1102192104784487
Netherlands,2010,7.067880046704578
Netherlands,2011,-7.196992530647361
Netherlands,2012,-2.1222821914896106
Netherlands,2013,-0.4989381726917319
Netherlands,2014,-4.500227376080046
Netherlands,2015,4.098334634895862
Netherlands,2016,0.5208650995986774
Netherlands,2017,-1.5265878698153212
Netherlands,2018,-2.484349583477097
Netherlands,2019,-3.4985846433806866
Netherlands,2020,-10.314482704433415
Netherlands,2021,2.1259509103917607
Netherlands,2022,-8.852208226698878
Netherlands,2023,-8.22490451205069
Norway,2000,
Norway,2001,3.2944862452825685
Norway,2002,-2.1783588777315677
Norway,2003,3.1664748302835166
Norway,2004,0.7695985792026239
Norway,2005,-2.2098199154935827
Norway,2006,1.3401418701910917
Norway,2007,3.980938917895971
Norway,2008,-2.001973467821505
Norway,2009,-3.5666338494585226
Norway,2010,5.94227110306742
Norway,2011,-1.9360914606101787
Norway,2012,-1.1546621998883233
Norway,2013,0.6349134619729746
Norway,2014,0.9789173533307993
Norway,2015,1.2184546970539278
Norway,2016,-1.7903038024734808
Norway,2017,-1.1429721750022326
Norway,2018,0.6222141774328449
Norway,2019,-3.6112610181687432
Norway,2020,-3.7115662763029023
Norway,2021,-0.5257419745608671
Norway,2022,-0.5480052608505037
Norway,2023,-4.809835182328015
Sweden,2000,
Sweden,2001,1.6213655906142765
Sweden,2002,1.5273744218565088
Sweden,2003,1.0364798530917652
Sweden,2004,-1.3858548435015106
Sweden,2005,-4.6803005600056675
Sweden,2006,-0.25284920147989887
Sweden,2007,-1.4389293768988565
Sweden,2008,-3.997806312524821
Sweden,2009,-7.134836993991922
Sweden,2010,12.485416710858456
Sweden,2011,-7.382752833355344
Sweden,2012,-5.104450869405863
Sweden,2013,-3.2205462698736143
Sweden,2014,-3.815456923690874
Sweden,2015,-0.17287080788289666
Sweden,2016,-0.004617871161405329
Sweden,2017,-2.20051722545489
Sweden,2018,-1.1781371738873725
Sweden,2019,-2.5898318042813506
Sweden,2020,-10.178553909545762
Sweden,2021,5.31374583583637
Sweden,2022,-5.771624144368381
Sweden,2023,1.0098508612624624
United Kingdom,2000,
United Kingdom,2001,1.5705564166640373
United Kingdom,2002,-3.0620913506040903
United Kingdom,2003,2.025084200023919
United Kingdom,2004,0.31681941992829366
United Kingdom,2005,-0.5392114120293612
United Kingdom,2006,-0.43693388832586333
United Kingdom,2007,-1.4581418201413676
United Kingdom,2008,-2.615241097564902
United Kingdom,2009,-9.326668281547057
United Kingdom,2010,3.6018441312425598
United Kingdom,2011,-8.242154305974736
United Kingdom,2012,3.7818838311905356
United Kingdom,2013,-2.023890357904057
United Kingdom,2014,-8.12460349531312
United Kingdom,2015,-3.7251001009555473
United Kingdom,2016,-5.451627487507727
United Kingdom,2017,-3.0200535763462932
United Kingdom,2018,-1.9715153846352473
United Kingdom,2019,-3.9441181892397315
United Kingdom,2020,-10.55234638234641
United Kingdom,2021,4.935588773474153
United Kingdom,2022,-9.12707453427034
United Kingdom,2023,-1.0581194273555306
United States,2000,
United States,2001,-1.9856029013351595
United States,2002,0.7496660490734275
United States,2003,0.9855881626525509
United States,2004,1.7498718042634254
United States,2005,0.2512948853358621
United States,2006,-1.331455712616969
United States,2007,1.26074259684259
United States,2008,-3.3050659458025544
United States,2009,-7.317128385643978
United States,2010,3.3383617955474287
United States,2011,-2.2979582837236
United States,2012,-3.746290151621978
United States,2013,2.662850581275289
United States,2014,1.0587316632550525
United States,2015,-2.94479592362491
United States,2016,-2.2936587279456466
United States,2017,-0.9521745115017799
United States,2018,3.1916398625942755
United States,2019,-2.337595285863181
United States,2020,-10.427180594326268
United States,2021,7.039663928473505
United States,2022,0.7030123437509639
United States,2023,-2.7098927622585145
